brand_name,product_category,units_sold,total_revenue,avg_retail_price,transactions
Deep Self,Dress,1,49.99,49.99,1
House of Harlow 1960,Dress,1,49.99,49.99,1
Magica,Set,1,49.99,49.99,1
Ann Taylor,Skirt,2,49.98,24.99,2
Express,Jacket/Coat,2,49.98,24.99,2
Jane & Delancy,Top,2,49.98,28.49,2
Loft,Dress,2,49.98,24.99,2
Urban Outfitters,Skirt,2,49.98,24.99,2
Maniere De Voir,Other,1,48.99,48.99,1
Blue Rain,Top,2,48.98,24.49,2
Cabi,Top,2,48.98,24.49,2
Maggy London,Dress,2,48.98,24.49,2
Bisou Bisou,Accessories,1,46.99,46.99,1
Style U,Top,2,46.0,23.0,2
Akira,Shoes,1,45.99,45.99,1
Armani Exchange,Dress,1,45.99,45.99,1
Carolina Belle,Jacket/Coat,1,45.99,45.99,1
Cio,Accessories,1,45.99,45.99,1
Claudia Strater,Dress,1,45.99,45.99,1
Draper James,Dress,1,45.99,45.99,1
Elana Kattau,Romper/Jumpsuit,1,45.99,45.99,1
Isaac Mizrahi,Dress,1,45.99,45.99,1
Lilly Pulitzer,Dress,1,45.99,45.99,1
Markay,Accessories,1,45.99,45.99,1
Persaman,Jacket/Coat,1,45.99,45.99,1
Saintart,Jeans/Pants,1,45.99,45.99,1
Vertigo,Top,1,45.99,45.99,1
Arizona Jean Co,Skirt,2,45.98,22.99,2
Nine West,Other,2,45.98,22.99,2
Sadie & Sage,Top,2,45.98,22.99,2
Tahari,Other,2,45.98,22.99,2
Mac & Jac,Jacket/Coat,1,45.0,45.0,1
Saks 5Th Ave,Other,1,45.0,45.0,1
Nicole Lee,Accessories,1,44.99,44.99,1
Origami,Shorts,1,44.99,44.99,1
Persaman,Sweater/Cardigan,1,44.99,44.99,1
J.Crew,Other,2,44.98,22.49,2
Pink Floyd,Top,2,44.98,22.49,2
Nautica,Top,2,43.98,21.99,2
Skies are Blue,Other,2,43.98,21.99,2
The Limited,Other,2,43.98,21.99,2
Unknown,Set,2,43.98,21.99,2
Abel the Label,Dress,1,42.99,42.99,1
Bke,Accessories,1,42.99,42.99,1
Dorset,Set,1,42.99,42.99,1
Kourt,Dress,1,42.99,42.99,1
Louisa Spagnoli,Top,1,42.99,42.99,1
Kenneth Cole,Accessories,2,42.98,21.49,1
Adrianna Papell,Top,2,42.48,28.49,2
Banana Republic,Other,2,41.98,20.99,2
The Limited,Dress,2,41.98,20.99,2
Calvin Klein,Accessories,2,40.98,20.49,2
Heart Soul,Top,2,40.98,20.49,2
New In,Skirt,2,40.98,20.49,2
Sears,Other,2,40.98,20.49,2
Ann Taylor,Jacket/Coat,1,39.99,39.99,1
Blush,Jeans/Pants,1,39.99,39.99,1
Chetta B,Dress,1,39.99,39.99,1
Colebrook,Jacket/Coat,1,39.99,39.99,1
Collage,Other,1,39.99,39.99,1
Cristina,Jacket/Coat,1,39.99,39.99,1
Fleur,Accessories,1,39.99,39.99,1
JR Bazaar,Skirt,1,39.99,39.99,1
JR Nites,Other,1,39.99,39.99,1
La Canadienne,Shoes,1,39.99,39.99,1
Lauren Ralph Lauren,Skirt,1,39.99,39.99,1
Lily,Top,1,39.99,39.99,1
Mardini,Top,1,39.99,39.99,1
MinkPink,Dress,1,39.99,39.99,1
Newport News,Skirt,1,39.99,39.99,1
P&S,Skirt,1,39.99,39.99,1
Rock & Republic,Jeans/Pants,1,39.99,39.99,1
Abercrombie & Fitch,Top,2,39.98,19.99,2
Betsey Johnson,Accessories,1,38.99,38.99,1
Designal,Dress,1,38.99,38.99,1
Shoreline,Dress,1,38.99,38.99,1
Avon,Accessories,2,38.98,19.49,2
Loft,Other,2,38.98,19.49,2
Patagonia,Shorts,3,38.98,14.99,3
St. John's Bay,Top,2,38.98,19.49,2
B. Right,Dress,1,37.99,37.99,1
