brand_name,product_category,units_sold,total_revenue,avg_retail_price,transactions
Hem & Thread,Top,1,22.99,22.99,1
Indulge in Style,Other,1,22.99,22.99,1
J. Gee,Dress,1,22.99,22.99,1
Jane Ashley,Other,1,22.99,22.99,1
Jason Maxwell,Other,1,22.99,22.99,1
Jezebel,Top,1,22.99,22.99,1
Juicy Couture,Other,1,22.99,22.99,1
Jun & Ivy,Top,1,22.99,22.99,1
Just G,Shorts,1,22.99,22.99,1
La Mode,Sweater/Cardigan,1,22.99,22.99,1
Lands End,Jacket/Coat,1,22.99,22.99,1
Liz Claiborne,Top,1,22.99,22.99,1
Marino Orlandi,Accessories,1,22.99,22.99,1
Maurizio Taiuti,Accessories,1,22.99,22.99,1
Melloday,Top,1,22.99,22.99,1
Melody,Skirt,1,22.99,22.99,1
Naya,Other,1,22.99,22.99,1
Nine West,Shoes,1,22.99,22.99,1
Nygard,Other,1,22.99,22.99,1
Olivaceous,Top,1,22.99,22.99,1
One Step,Top,1,22.99,22.99,1
Pink,Top,1,22.99,22.99,1
Positive Attitude,Other,1,22.99,22.99,1
Rebellion Again,Top,1,22.99,22.99,1
River Island,Top,1,22.99,22.99,1
Signature by Larry Levine,Dress,1,22.99,22.99,1
Sofft,Top,1,22.99,22.99,1
Southwest Indian Foundation,Skirt,1,22.99,22.99,1
SuperDown,Dress,1,22.99,22.99,1
Sweet Pea,Top,1,22.99,22.99,1
Talbots,Other,1,22.99,22.99,1
The Limited,Skirt,1,22.99,22.99,1
Three Eighty Two,Top,1,22.99,22.99,1
Tommy Bahama,Accessories,1,22.99,22.99,1
Tommy Hilfiger,Dress,1,22.99,22.99,1
Tribal,Skirt,1,22.99,22.99,1
Tribe Azure,Romper/Jumpsuit,1,22.99,22.99,1
Uja,Top,1,22.99,22.99,1
Vervet,Jeans/Pants,1,22.99,22.99,1
Wild Fable,Skirt,1,22.99,22.99,1
Wonderly,Skirt,1,22.99,22.99,1
X2,Skirt,1,22.99,22.99,1
Zara,Shoes,1,22.99,22.99,1
Hyfve,Skirt,1,22.0,22.0,1
by JJ,Jeans/Pants,1,22.0,22.0,1
Altar'd State,Other,1,21.99,21.99,1
Armani Exchange,Other,1,21.99,21.99,1
BCBGeneration,Sweater/Cardigan,1,21.99,21.99,1
Bar III,Sweater/Cardigan,1,21.99,21.99,1
Briggs New York,Skirt,1,21.99,21.99,1
Calvin Klein,Skirt,1,21.99,21.99,1
Charlotte Russe,Dress,1,21.99,21.99,1
Charlotte Russe,Top,1,21.99,21.99,1
Christopher Blue,Jeans/Pants,1,21.99,21.99,1
Coco & Jaimeson,Dress,1,21.99,21.99,1
Elliott Lauren,Jeans/Pants,1,21.99,21.99,1
Emma James,Top,1,21.99,21.99,1
Good Choice,Shoes,1,21.99,21.99,1
Grade & Gather,Top,1,21.99,21.99,1
H by bordeaux,Other,1,21.99,21.99,1
Jones New York,Jeans/Pants,1,21.99,21.99,1
Kimchi Blue,Other,1,21.99,21.99,1
Love On A Hanger,Skirt,1,21.99,21.99,1
Majorelle,Top,1,21.99,21.99,1
Marilyn Monroe,Dress,1,21.99,21.99,1
Nine West,Top,1,21.99,21.99,1
Nirvana,Top,1,21.99,21.99,1
Please,Top,1,21.99,21.99,1
Richard Kristall,Shorts,1,21.99,21.99,1
Ronni Nicole,Sweater/Cardigan,1,21.99,21.99,1
Sadie & Sage,Dress,1,21.99,21.99,1
She & Sky,Top,1,21.99,21.99,1
Sincerely Jules,Jeans/Pants,1,21.99,21.99,1
Soffe,Other,1,21.99,21.99,1
Soho Girl's,Top,1,21.99,21.99,1
Spense,Top,1,21.99,21.99,1
The Outfit,Top,1,21.99,21.99,1
Ultra Pink,Other,1,21.99,21.99,1
Venue,Sweater/Cardigan,1,21.99,21.99,1
Aeropostale,Accessories,1,20.99,20.99,1
J Jill,Sweater/Cardigan,1,20.99,20.99,1
Naturalizer,Other,1,20.99,20.99,1
Vertigo,Sweater/Cardigan,1,20.0,39.99,1
American Eagle,Skirt,1,19.99,19.99,1
Ann Taylor,Accessories,1,19.99,19.99,1
Arizona,Jeans/Pants,1,19.99,19.99,1
Champion,Top,1,19.99,19.99,1
Designers Original,Top,1,19.99,19.99,1
Dr 2,Top,1,19.99,19.99,1
Gap,Other,1,19.99,19.99,1
George,Skirt,1,19.99,19.99,1
Hawaiian Punch,Top,1,19.99,19.99,1
Itsu,Skirt,1,19.99,19.99,1
Jack Wills,Shorts,1,19.99,19.99,1
Kate Lord,Shorts,1,19.99,19.99,1
La Castellana,Top,1,19.99,19.99,1
Le Lis,Top,1,19.99,19.99,1
Lou & Grey by Loft,Top,1,19.99,19.99,1
Luxology,Dress,1,19.99,19.99,1
Michelle Nicole,Top,1,19.99,19.99,1
Moth,Sweater/Cardigan,1,19.99,19.99,1
Muse Valley,Dress,1,19.99,19.99,1
Nike,Top,1,19.99,19.99,1
Perceptions,Sweater/Cardigan,1,19.99,19.99,1
Peyton Primrase,Other,1,19.99,19.99,1
Posty Co,Top,1,19.99,19.99,1
Reformed,Skirt,1,19.99,19.99,1
So,Jacket/Coat,1,19.99,19.99,1
Steve Madden,Top,1,19.99,19.99,1
The Territory Ahead,Dress,1,19.99,19.99,1
Urban Behavior,Top,1,19.99,19.99,1
Whispers,Other,1,19.99,19.99,1
Kristin Davis,Top,1,19.0,19.0,1
Paani Luv,Skirt,1,19.0,19.0,1
Xcvi,Top,1,19.0,19.0,1
A. Byer,Top,1,18.99,18.99,1
Agenda,Top,1,18.99,18.99,1
Altar'd State,Romper/Jumpsuit,1,18.99,18.99,1
Anne Klein,Dress,1,18.99,18.99,1
Apollo,Jeans/Pants,1,18.99,18.99,1
Apt 9,Other,1,18.99,18.99,1
Aryeh,Dress,1,18.99,18.99,1
Be Divine,Other,1,18.99,18.99,1
Bluesteel,Top,1,18.99,18.99,1
Cable & Gauge,Other,1,18.99,18.99,1
Cable & Gauge,Top,1,18.99,18.99,1
Charlotte Russe,Other,1,18.99,18.99,1
Chico's,Top,1,18.99,18.99,1
Daytrip,Top,1,18.99,18.99,1
Divided,Dress,1,18.99,18.99,1
Dress Forum,Dress,1,18.99,18.99,1
EarthBound,Top,1,18.99,18.99,1
Franco Sarto,Other,1,18.99,18.99,1
Georciou Studio,Accessories,1,18.99,18.99,1
Halogen,Top,1,18.99,18.99,1
Impressions,Top,1,18.99,18.99,1
Izod,Skirt,1,18.99,18.99,1
J.Crew,Shorts,1,18.99,18.99,1
Jeuvre,Dress,1,18.99,18.99,1
Jules & Leopold,Jeans/Pants,1,18.99,18.99,1
Kenar,Shorts,1,18.99,18.99,1
Lady O,Shorts,1,18.99,18.99,1
Miss Cocoa,Top,1,18.99,18.99,1
Morgan Taylor Intimates,Dress,1,18.99,18.99,1
Nakamol,Accessories,1,18.99,18.99,1
NikiBiki,Dress,1,18.99,18.99,1
Nvgtn,Top,1,18.99,18.99,1
Ocean Drive,Dress,1,18.99,18.99,1
Oz,Accessories,1,18.99,18.99,1
Promod,Top,1,18.99,18.99,1
Rachel Zoe,Top,1,18.99,18.99,1
Rafaella,Skirt,1,18.99,18.99,1
Relativity,Sweater/Cardigan,1,18.99,18.99,1
Sienna Sky,Other,1,18.99,18.99,1
Sim & Sam,Top,1,18.99,18.99,1
Sonoma,Accessories,1,18.99,18.99,1
Tahari Arthur S Levine,Top,1,18.99,18.99,1
Thml,Sweater/Cardigan,1,18.99,18.99,1
Tic Toc,Set,1,18.99,18.99,1
Victoria's Secret,Other,1,18.99,18.99,1
White Mountain,Top,1,18.99,18.99,1
Wrangler,Shorts,1,18.99,18.99,1
Ww,Accessories,1,18.99,18.99,1
Zac & Rachel,Other,1,18.99,18.99,1
3 Suiesses Collection,Dress,1,18.0,35.99,1
The Limited,Top,1,18.0,18.0,1
A New Day,Dress,1,17.99,17.99,1
Adrienne Vittadini,Top,1,17.99,17.99,1
BCBGeneration,Skirt,1,17.99,17.99,1
Bog,Top,1,17.99,17.99,1
Copper Key,Dress,1,17.99,17.99,1
Gianni Bini,Top,1,17.99,17.99,1
H&M,Top,1,17.99,17.99,1
Harlowe & Graham,Other,1,17.99,17.99,1
Intimately,Other,1,17.99,17.99,1
Mimi Chica,Top,1,17.99,17.99,1
New Directions,Top,1,17.99,17.99,1
PacSun,Jeans/Pants,1,17.99,17.99,1
Philosophy,Top,1,17.99,17.99,1
Rhythm,Other,1,17.99,17.99,1
S.C. Society,Top,1,17.99,17.99,1
Sienna Sky,Top,1,17.99,17.99,1
Sincerely Jules,Other,1,17.99,17.99,1
Slenderella,Dress,1,17.99,17.99,1
Thirty Thirty,Other,1,17.99,17.99,1
Vera Pelle,Accessories,1,17.99,17.99,1
Hurley,Shorts,1,17.0,17.0,1
Allegra K,Top,1,16.99,16.99,1
Elan,Top,1,16.99,16.99,1
Indigo Rising,Top,1,16.99,16.99,1
Jbd,Skirt,1,16.99,16.99,1
Lane Bryant,Top,1,16.99,16.99,1
Lorraine,Dress,1,16.99,16.99,1
Sanctuary,Other,1,16.99,16.99,1
St. John's Bay,Other,1,16.99,16.99,1
Under Armor,Accessories,1,16.99,16.99,1
Westbound,Sweater/Cardigan,1,16.99,16.99,1
Xtraordinary,Top,1,16.99,16.99,1
Bdg,Skirt,1,16.0,16.0,1
Garage,Jeans/Pants,1,16.0,16.0,1
Ali & Chris,Top,1,15.99,15.99,1
Allison Brittney,Dress,1,15.99,15.99,1
August,Accessories,1,15.99,15.99,1
Bed of Roses,Top,1,15.99,15.99,1
Body Central,Top,1,15.99,15.99,1
Camelot,Top,1,15.99,15.99,1
Caroline Hill,Top,1,15.99,15.99,1
Charming Charlie,Accessories,1,15.99,15.99,1
Chloe & Katie,Skirt,1,15.99,15.99,1
Cocomo,Top,1,15.99,15.99,1
Comfort Colors,Top,1,15.99,15.99,1
David & Young,Accessories,1,15.99,15.99,1
Diesel,Jeans/Pants,1,15.99,15.99,1
Diesel,Skirt,1,15.99,31.99,1
Elite,Accessories,1,15.99,15.99,1
Forever 21,Top,1,15.99,15.99,1
Gianni Bini,Shoes,1,15.99,15.99,1
Her,Other,1,15.99,15.99,1
Highway Jeans,Jeans/Pants,1,15.99,15.99,1
Hydraulic,Skirt,1,15.99,15.99,1
Hypnotik,Dress,1,15.99,15.99,1
Inner Most,Other,1,15.99,15.99,1
Izod,Top,1,15.99,15.99,1
Japna,Top,1,15.99,15.99,1
LA Hearts,Top,1,15.99,15.99,1
Liangcai,Dress,1,15.99,31.99,1
Loft,Shorts,1,15.99,15.99,1
Lohla,Skirt,1,15.99,15.99,1
Love Fire,Top,1,15.99,15.99,1
Margo Paige,Accessories,1,15.99,15.99,1
Marilyn Monroe,Top,1,15.99,15.99,1
Mng,Top,1,15.99,15.99,1
Naked Zebra,Top,1,15.99,15.99,1
Out from under,Romper/Jumpsuit,1,15.99,15.99,1
PGA Tour,Top,1,15.99,15.99,1
Papaya,Top,1,15.99,15.99,1
Ps La,Top,1,15.99,15.99,1
R & K Originals,Top,1,15.99,15.99,1
Ralph Lauren,Other,1,15.99,15.99,1
Red Oak,Top,1,15.99,15.99,1
Sag Harbor,Top,1,15.99,15.99,1
Sanctuary,Top,1,15.99,15.99,1
Sincerely Jules,Top,1,15.99,15.99,1
Socialite,Top,1,15.99,15.99,1
St. John's Bay,Shorts,1,15.99,15.99,1
Studio 1940,Other,1,15.99,15.99,1
Undiz,Top,1,15.99,15.99,1
United States Sweaters,Sweater/Cardigan,1,15.99,15.99,1
Vanity Fair,Other,1,15.99,15.99,1
8 by Yook,Other,1,14.99,14.99,1
Aerie,Other,1,14.99,14.99,1
Arizona,Skirt,1,14.99,14.99,1
Axyeh,Dress,1,14.99,29.99,1
Blush,Top,1,14.99,14.99,1
Calvin Klein Jeans,Jacket/Coat,1,14.99,29.99,1
Carolina Blues,Shorts,1,14.99,14.99,1
Derek Heart,Sweater/Cardigan,1,14.99,14.99,1
Express,Jeans/Pants,1,14.99,14.99,1
Express Design Studio,Dress,1,14.99,14.99,1
Generation Kiss,Jeans/Pants,1,14.99,14.99,1
Guns N Roses,Other,1,14.99,14.99,1
Hello Franki,Other,1,14.99,14.99,1
Known Supply,Top,1,14.99,14.99,1
Lush,Other,1,14.99,14.99,1
Mariokart,Top,1,14.99,14.99,1
Merit,Accessories,1,14.99,14.99,1
Moa Moa,Top,1,14.99,14.99,1
Monteau,Top,1,14.99,14.99,1
Next,Accessories,1,14.99,14.99,1
Say What,Set,1,14.99,14.99,1
Tryst,Top,1,14.99,14.99,1
Beige,Top,1,13.99,13.99,1
Derek Heart,Top,1,13.99,13.99,1
Kasper Knits,Top,1,13.99,13.99,1
National Collegian,Top,1,13.99,13.99,1
Port & Co,Top,1,13.99,13.99,1
Runway,Other,1,13.99,13.99,1
Sophie Max,Dress,1,13.99,13.99,1
Universal Thread,Top,1,13.99,13.99,1
Zara Basic,Top,1,13.99,13.99,1
1 co Premium,Shorts,1,12.99,12.99,1
AC/DC,Top,1,12.99,12.99,1
Aerie Offline,Top,1,12.99,12.99,1
Ande,Accessories,1,12.99,12.99,1
Biviar,Accessories,1,12.99,12.99,1
Black Tank,Top,1,12.99,12.99,1
Blue Jasmine,Top,1,12.99,12.99,1
C&C california,Dress,1,12.99,12.99,1
Cotton Candy LA,Other,1,12.99,12.99,1
Dazy,Top,1,12.99,12.99,1
Izod,Other,1,12.99,25.99,1
Max Studio,Top,1,12.99,12.99,1
Old County Road,Accessories,1,12.99,12.99,1
Shade Shore,Top,1,12.99,12.99,1
Urban Romantics,Top,1,12.99,12.99,1
Vera Bradley,Accessories,1,12.99,12.99,1
White House Black Market,Accessories,1,12.99,12.99,1
Loverocks,Top,1,12.49,24.99,1
Live in the Moment,Top,1,11.99,11.99,1
Melrose & Market,Shorts,1,11.99,11.99,1
Banana Republic,Shorts,1,11.49,22.99,1
Judith Hart,Top,1,11.49,22.99,1
Absolutely Love it,Top,1,10.99,10.99,1
Catalina,Top,1,10.99,10.99,1
Delta Pro Weight,Other,1,10.99,10.99,1
Eloise,Top,1,10.99,10.99,1
Haute Monde,Skirt,1,10.99,10.99,1
Liz Claiborne,Shoes,1,10.99,10.99,1
M Usa,Top,1,10.99,21.99,1
H&M,Shorts,1,9.99,9.99,1
Jealous Tomato,Other,1,9.99,19.99,1
One Step Up,Dress,1,9.99,19.99,1
Reformation,Other,1,9.99,9.99,1
SJB Active,Top,1,9.99,9.99,1
Vanity,Top,1,9.99,19.99,1
Akira,Top,1,9.5,19.0,1
Zenana,Top,1,9.49,18.99,1
Aura,Top,1,8.99,8.99,1
French Bee,Accessories,1,8.99,8.99,1
One Clothing,Other,1,8.99,8.99,1
Hot Tees,Top,1,8.0,15.99,1
Mine,Top,1,8.0,15.99,1
Jacqueline Ferrar,Top,1,7.99,7.99,1
Sleevey Wonders,Top,1,7.5,15.0,1
Alberto Makali,Other,1,7.2,35.99,1
Elevenses,Skirt,1,0.0,32.99,1
