sku,product_name,brand_name,product_category,size,retail_price,supply_price,gross_margin_pct,current_inventory,sold_revenue,closing_inventory,inventory_cost
10006328,Frye Wood Heels,Frye,Top,7.5,75.99,0.0,,0,75.99,0,0.0
10006056,hrlydvdsn boot bwn lthr,Harley Davidson,Shoes,7,75.99,0.0,,0,75.99,0,0.0
10004645,NWT Red Multicolor Dress,Unknown,Dress,M,75.99,0.0,,0,75.99,0,0.0
10007063,Tory Burch Brown Heels,Tory Burch,Top,8,75.99,0.0,,0,75.99,0,0.0
10006772,Vintage Club 515 Yellow Floral Dress Sz M,Club 515,Dress,,75.99,0.0,,0,75.99,0,0.0
10008546,VintagePamelaF RedStitchSkirt,Pamela Ferrari,Skirt,6,75.99,0.0,,0,75.99,0,0.0
10002639,CristinaJacket_J,Cristina,Jacket/Coat,,39.99,0.0,,0,75.98,0,0.0
10003434,Fossil Hobo Handbag,Fossil,Top,,75.0,0.0,,0,75.0,0,0.0
10005728,Silver Metal Skull Ring Purse,Unknown,Accessories,,75.0,0.0,,0,75.0,0,0.0
10007197,Silver Metal Skulls Ring Purse,,Top,,75.0,0.0,,0,75.0,0,0.0
10006495,Vintage Lamp Black & Brown,,Other,,74.99,0.0,,0,74.99,0,0.0
10007471,VINTAGE Shiny Pink Green SS Dress,Unknown,Dress,S,74.99,0.0,,0,74.99,0,0.0
10008050,VintageIsabel BlueFlowrSwtr,Isabel of Saks Fifth Avenue,Sweater/Cardigan,S,74.99,0.0,,0,73.19555,0,0.0
10003950,12th Tribe White Sequin Jacket,12th Tribe,Jacket/Coat,M,69.99,0.0,,0,69.99,0,0.0
10003883,JB Dillon Cream Cowgirl Boots,JB Dillon,Shoes,9,69.99,0.0,,0,69.99,0,0.0
10005008,Sanctuary NWT Black Mustard Jumpsuit,Sanctuary,Romper/Jumpsuit,8,69.99,0.0,,0,69.99,0,0.0
10007404,Patricia Nash Brown Purse,Patricia Nash,Accessories,,68.99,0.0,,0,68.99,0,0.0
10006773,Vintage Light Blue Lace Dress,Unknown,Dress,M,65.99,0.0,,0,65.99,0,0.0
10004553,Coach Dark Brown Purse Tan Strap,Coach,Accessories,,65.0,0.0,,0,65.0,0,0.0
10003439,Coach Madison Phoebe Gold Studded Bag,Coach,Accessories,,65.0,0.0,,0,65.0,0,0.0
10004659,VintageGrn&PinkDress,Unknown,Dress,S,65.0,0.0,,0,65.0,0,0.0
10006688,VINTAGE Duckhead Jean Striped Overalls,Duckhead,Jeans/Pants,XS,64.99,0.0,,0,64.99,0,0.0
10008061,VintageAW Red&BrwnPurse,American West,Accessories,,64.99,0.0,,0,62.34749,0,0.0
10003441,Cali 1850 Bluejeans,Cali 1850,Jeans/Pants,6,59.99,0.0,,0,59.99,0,0.0
10004519,Coach Yllw Houndstooth Handbag,Coach,Accessories,,59.99,0.0,,0,59.99,0,0.0
10005910,Desigual Green Skirt w Buckle,Desigual,Skirt,38,59.99,0.0,,0,59.99,0,0.0
10003769,Jessica M Black Skirt VINTAGE,Jessica McClintock,Skirt,5,59.99,0.0,,0,59.99,0,0.0
10007483,Silver Dragon Green Blazer,,Jacket/Coat,M,59.99,0.0,,0,59.99,0,0.0
10005853,Tory Burch Pink Blue Small Purse,Tory Burch,Accessories,,59.99,0.0,,0,59.99,0,0.0
10006474,VINTAGE 2 Piece Bogart Brown Set,Bogart of Texas,Set,9,59.99,0.0,,0,59.99,0,0.0
10006458,VINTAGE Green Jumpsuit,Unknown,Romper/Jumpsuit,XS,59.99,0.0,,0,59.99,0,0.0
10007037,NWT Guess Denim Shorts Jumper,Guess,Shorts,S,58.99,0.0,,0,58.99,0,0.0
10007584,Paddle & Saddle Brown VINTAGE SL Jumpsuit,Paddle & Saddle,Romper/Jumpsuit,,59.99,0.0,,0,57.60888,0,0.0
10006814,Anthropologie Reformation Plaid Top,Anthropologie,Top,L,55.99,0.0,,0,55.99,0,0.0
10005165,D&G Floral Jacket,Dolce X Gabbana,Jacket/Coat,2,55.99,0.0,,0,55.99,0,0.0
10006252,Djer Kiss Kissing Fairies Compact 1920s,Djer Kiss,Top,,55.99,0.0,,0,55.99,0,0.0
10005865,Johnny Was Beige Dress,Johnny Was,Dress,S,55.99,0.0,,0,55.99,0,0.0
10003979,Kokin Black Tulle Hat,Kokin,Accessories,,55.99,0.0,,1,55.99,1,0.0
10006270,L'Artiste Boots Brown,,Shoes,7.5,55.99,0.0,,0,55.99,0,0.0
10007059,Manolo Blahnik Black Studded Heels,Manolo Blahnik,Top,9,55.99,0.0,,0,55.99,0,0.0
10006011,Mystree BrwnStripeSweater,Mystree,Sweater/Cardigan,S,55.99,0.0,,0,55.99,0,0.0
10005736,NWT Lady Black Tie Blush Pink Dress,Lady Black Tie,Dress,14,55.99,0.0,,0,55.99,0,0.0
10006038,THML Blk&WhipatternTop,Thml,Other,S,55.99,0.0,,0,55.99,0,0.0
10007891,Silver bracelet silbver,Unknown,Accessories,,55.0,0.0,,0,55.0,0,0.0
10006253,Wire Purse,Unknown,Accessories,,55.0,0.0,,0,55.0,0,0.0
10007657,Billini Silver Boots,,Shoes,7,54.99,20.0,63.6,0,54.99,0,0.0
10008443,Kate Spade PInk Lola Tote Bag,,Accessories,,54.99,9.99,81.8,0,54.99,0,0.0
10006630,pink oasis tanktop,Oasis,Top,L,54.99,0.0,,0,54.99,0,0.0
10008422,La Lavon White Floral Dress,,Dress,L,54.99,14.25,74.1,0,51.75453,0,0.0
10004513,VINTAGE MaryFrances Hndbg,Mary Frances,Other,,50.0,0.0,,0,50.0,0,0.0
10003350,Born Tan Boots,Born,Shoes,10,49.99,0.0,,0,49.99,0,0.0
10007676,Gianni Bini Brown Boots 7.5,,Shoes,,49.99,0.0,,0,49.99,0,0.0
10006649,house of harlow multi color maxi dress,House of Harlow 1960,Dress,S,49.99,0.0,,0,49.99,0,0.0
10006847,Long white skirt,Unknown,Skirt,S,49.99,0.0,,0,49.99,0,0.0
10007498,NBD Sequin Top,,Top,S,49.99,0.0,,0,49.99,0,0.0
10006449,VINTAGE Cream Pink Blue Sheer Dress,Unknown,Dress,S,49.99,0.0,,0,49.99,0,0.0
10007184,Vintage Grey Vest,,Top,S,49.99,0.0,,0,49.99,0,0.0
10006479,VINTAGE Magica Blue 2 Piece Set,Magica,Set,M,49.99,0.0,,0,49.99,0,0.0
10003928,Maniere De Voir WhtSatin Bustier,Maniere De Voir,Other,L,48.99,0.0,,0,48.99,0,0.0
10004166,BC Vintage Faux Leather Jacket Black,Bc,Jacket/Coat,L,49.99,0.0,,0,48.79378,0,0.0
10007704,JSColl BlkWhiStripeDress,JS Collection,Dress,6,59.99,0.0,,0,47.992,0,0.0
10004202,Vince C Black Jumpsuit,Vince Camuto,Romper/Jumpsuit,8,47.99,0.0,,0,47.99,0,0.0
10007157,Brown Chic Vintage T Shirt,,Top,L,23.99,16.0,33.3,23,47.98,23,368.0
10007146,Pink Chic Vintage T Shirt,,Top,M,23.99,16.0,33.3,23,47.98,23,368.0
10007838,Aureum NWT Yellow Blue Shorts,Aureum NWT,Shorts,M,49.99,0.0,,0,47.68206,0,0.0
10006739,Bisou Bisou Silver Bracelet Black Stone,Bisou Bisou,Accessories,,46.99,0.0,,0,46.99,0,0.0
10004883,5a7 jns dnm,5A7,Jeans/Pants,2,45.99,0.0,,0,45.99,0,0.0
10003326,Akira Chicago Black Label Dress,Akira Chicago,Dress,,45.99,0.0,,1,45.99,1,0.0
10007055,Akira Cream Boots,Akira,Shoes,8,45.99,0.0,,0,45.99,0,0.0
10005701,Another Label Orange & Black Jacket,Another Label,Jacket/Coat,S,45.99,0.0,,0,45.99,0,0.0
10002699,Bagatelle CollectionJacket,Bagatelle Collection,Jacket/Coat,,45.99,0.0,,0,45.99,0,0.0
10003984,Brahman Brown Leather Purse,Brahman,Accessories,,45.99,0.0,,0,45.99,0,0.0
