receipt_number,date,day_of_week,month,basket_size,order_subtotal,order_total,basket_category
59,2026-03-29,Sunday,3,1,31.99,34.95,1 item
60,2026-03-29,Sunday,3,1,55.99,61.17,1 item
61,2026-03-29,Sunday,3,1,64.99,71.0,1 item
62,2026-03-29,Sunday,3,2,48.98,53.51,2 items
63,2026-03-29,Sunday,3,1,15.99,17.47,1 item
64,2026-03-29,Sunday,3,1,32.99,36.04,1 item
65,2026-03-29,Sunday,3,1,18.99,20.75,1 item
66,2026-03-29,Sunday,3,1,18.99,20.75,1 item
67,2026-03-29,Sunday,3,1,12.99,14.19,1 item
68,2026-03-29,Sunday,3,1,21.99,24.02,1 item
69,2026-04-01,Wednesday,4,1,34.99,38.23,1 item
70,2026-04-01,Wednesday,4,1,18.99,20.75,1 item
71,2026-04-01,Wednesday,4,1,24.99,27.3,1 item
72,2026-04-01,Wednesday,4,4,84.96,92.82,4–5 items
73,2026-04-01,Wednesday,4,2,32.98,36.03,2 items
74,2026-04-01,Wednesday,4,2,41.98,45.86,2 items
75,2026-04-01,Wednesday,4,3,71.97,78.63,3 items
76,2026-04-01,Wednesday,4,1,25.99,28.39,1 item
77,2026-04-01,Wednesday,4,1,9.99,10.91,1 item
78,2026-04-01,Wednesday,4,4,90.96,99.37,4–5 items
79,2026-04-02,Thursday,4,1,17.99,19.65,1 item
80,2026-04-02,Thursday,4,3,187.98,205.37,3 items
81,2026-04-02,Thursday,4,1,22.99,25.12,1 item
82,2026-04-02,Thursday,4,1,25.99,28.39,1 item
83,2026-04-02,Thursday,4,1,18.99,20.75,1 item
84,2026-04-02,Thursday,4,1,32.99,36.04,1 item
85,2026-04-02,Thursday,4,5,160.96,175.85,4–5 items
86,2026-04-03,Friday,4,1,45.99,50.24,1 item
87,2026-04-03,Friday,4,1,14.99,16.38,1 item
88,2026-04-03,Friday,4,2,40.98,44.77,2 items
89,2026-04-03,Friday,4,3,63.97,69.89,3 items
90,2026-04-03,Friday,4,2,50.98,55.7,2 items
91,2026-04-03,Friday,4,2,31.98,34.94,2 items
92,2026-04-03,Friday,4,1,20.0,21.85,1 item
93,2026-04-03,Friday,4,1,22.99,25.12,1 item
94,2026-04-03,Friday,4,1,75.0,81.94,1 item
95,2026-04-03,Friday,4,1,22.99,25.12,1 item
96,2026-04-03,Friday,4,2,42.99,46.97,2 items
97,2026-04-03,Friday,4,1,14.99,16.38,1 item
98,2026-04-03,Friday,4,1,16.0,17.48,1 item
99,2026-04-03,Friday,4,1,17.99,19.65,1 item
100,2026-04-03,Friday,4,1,24.99,27.3,1 item
101,2026-04-03,Friday,4,1,25.99,28.39,1 item
102,2026-04-03,Friday,4,1,23.0,25.13,1 item
103,2026-04-03,Friday,4,4,96.96,105.93,4–5 items
104,2026-04-03,Friday,4,2,32.98,36.03,2 items
105,2026-04-03,Friday,4,1,15.99,17.47,1 item
106,2026-04-03,Friday,4,1,18.99,20.75,1 item
107,2026-04-03,Friday,4,1,23.99,26.21,1 item
108,2026-04-03,Friday,4,1,22.99,25.12,1 item
109,2026-04-04,Saturday,4,1,15.99,17.47,1 item
110,2026-04-04,Saturday,4,1,45.99,50.24,1 item
111,2026-04-04,Saturday,4,1,24.99,27.3,1 item
112,2026-04-04,Saturday,4,1,24.99,27.3,1 item
113,2026-04-04,Saturday,4,1,45.99,50.24,1 item
114,2026-04-04,Saturday,4,1,13.99,15.28,1 item
115,2026-04-04,Saturday,4,1,29.99,32.76,1 item
116,2026-04-04,Saturday,4,3,78.97,86.27,3 items
117,2026-04-04,Saturday,4,1,32.99,36.04,1 item
118,2026-04-04,Saturday,4,3,55.97,61.15,3 items
119,2026-04-04,Saturday,4,1,20.0,21.85,1 item
120,2026-04-04,Saturday,4,1,18.99,20.75,1 item
121,2026-04-04,Saturday,4,1,19.99,21.84,1 item
122,2026-04-04,Saturday,4,5,136.95,149.62,4–5 items
123,2026-04-04,Saturday,4,1,20.0,21.85,1 item
124,2026-04-04,Saturday,4,1,24.99,27.3,1 item
125,2026-04-04,Saturday,4,1,15.99,17.47,1 item
126,2026-04-04,Saturday,4,1,20.0,21.85,1 item
127,2026-04-04,Saturday,4,2,58.98,64.44,2 items
128,2026-04-04,Saturday,4,5,131.95,144.16,4–5 items
129,2026-04-04,Saturday,4,3,86.97,95.01,3 items
130,2026-04-04,Saturday,4,1,14.99,16.38,1 item
131,2026-04-04,Saturday,4,2,33.98,37.12,2 items
132,2026-04-04,Saturday,4,1,23.99,26.21,1 item
133,2026-04-04,Saturday,4,4,81.97,89.55,4–5 items
134,2026-04-05,Sunday,4,1,49.99,54.61,1 item
135,2026-04-05,Sunday,4,1,45.99,50.24,1 item
136,2026-04-05,Sunday,4,1,14.99,16.38,1 item
137,2026-04-05,Sunday,4,1,20.0,21.85,1 item
138,2026-04-05,Sunday,4,2,111.98,122.34,2 items
139,2026-04-05,Sunday,4,1,39.99,43.69,1 item
140,2026-04-05,Sunday,4,1,24.99,27.3,1 item
141,2026-04-05,Sunday,4,2,41.98,45.86,2 items
142,2026-04-05,Sunday,4,1,14.99,16.38,1 item
143,2026-04-05,Sunday,4,2,33.98,37.12,2 items
144,2026-04-05,Sunday,4,1,19.99,21.84,1 item
145,2026-04-05,Sunday,4,7,161.93,176.91,6+ items
146,2026-04-05,Sunday,4,2,48.99,53.52,2 items
147,2026-04-05,Sunday,4,1,15.99,17.47,1 item
148,2026-04-05,Sunday,4,1,25.99,28.39,1 item
149,2026-04-05,Sunday,4,1,59.99,65.54,1 item
150,2026-04-08,Wednesday,4,1,32.99,36.04,1 item
151,2026-04-08,Wednesday,4,1,14.99,16.38,1 item
152,2026-04-08,Wednesday,4,6,131.94,144.14,6+ items
153,2026-04-08,Wednesday,4,1,39.99,43.69,1 item
154,2026-04-08,Wednesday,4,1,28.99,31.67,1 item
155,2026-04-08,Wednesday,4,4,57.96,63.32,4–5 items
156,2026-04-08,Wednesday,4,2,52.98,57.88,2 items
157,2026-04-08,Wednesday,4,1,18.99,20.75,1 item
158,2026-04-08,Wednesday,4,1,23.99,26.21,1 item
