is_wednesday_deal,transactions,units_sold,realized_revenue,total_discount_given,full_price_equivalent,avg_transaction_value,avg_basket_size,avg_discount_pct
0,79,145,4005.64,2.0,4007.64,50.7,1.84,0.0
1,35,108,2667.57,802.45,3470.02,76.22,3.09,23.1
