Product,SKU,Supplier Code,Brand,Supplier,Category,Tag,Closing Inventory,Revenue,Inventory Cost
Abercrombie & F Pale Pink Satin Dress / Size S,10006674,,Abercrombie X Fitch,,,,1,0,0
Abercrombie & F Strapless Orange Dress / Size S,10006712,,Abercrombie X Fitch,,,,0,39.99,0
Abercrombie & F Tan Satin Bodysuit / Size XL,10005937,,Abercrombie X Fitch,,,,1,0,0
Abercrombie & F White Crop Top / Size S,10006290,,Abercrombie X Fitch,,,,1,0,0
Abercrombie & Fitch Floral Top M,10008208,,,,,,1,0,6
Abercrombie & Fitch Tank Bodysuit/Pink/Size L,10005225,,Abercrombie,,,,1,0,0
Abercrombie Floral Tube Top / Size XS,10005308,,Abercrombie X Fitch,,,,1,12.99,0
Abercrombie Green Blue LS Flannel / Size L,10005118,,Abercrombie X Fitch,,,,1,0,0
Abercrombie X FitchSkirt_H,10001914,,Abercrombie X Fitch,,,,1,29.99,0
Abercrombie Yellow SS Top/Size S,10007333,,Abercrombie,,,,1,0,0
Abercrombie&Finch/ Floral Top/ Size XXS,10005447,,Abercrombie X Fitch,,,,0,15.99,0
Abercrombie/GryTanHalterTop/SizeM,10008337,,Abercrombie X Fitch,,,,0,14.0715,0
AbercrombieXF/FloralCropTop/SizeM,10006351,,Abercrombie X Fitch,,,,1,0,0
Abollria/FloralBlouse/SizeM,10005781,,Abollria,,,,1,0,0
Absolutely Tie Dye Crop Top / Size L,10005107,,Absolutely Love it,,,,0,10.99,0
Acacia Orange Zip Up Hoodie / Size M,10006988,,Acacia,,,,1,0,0
Active USA Green Floral Wrap Top,10005372,,Active USA,,,,1,0,0
Adam Levine Faux Leather Floral Jacket / Size S,10003871,,Adam Levine,,,,0,31.99,0
Addie Top Black Multi Color/Size OS,10005834,,Addie,,,,1,0,0
Additions by Chico's Gray Jean Jacket / Size 2,10006677,,Chico's,,,,0,31.99,0
AdelynRae/MulticolStripeDress/SizeXS,10007416,,adelyn rae,,,,1,0,0
Adidas Black Shorts Size 6,10007444,,,,,,1,0,0
Adidas Tennessee Orange Tshirt / Size 2X,10006456,,Adidas,,,,1,0,0
Adiva Brown SS Top L,10008251,,,,,,1,0,6
Adiva Pale Pink & White Tank / Size XL,10005605,,Adiva,,,,0,15.99,0
Adiva Vintage LS Blouse Size S,10007505,,,,,,0,23.99,0
Adiva White LS Blouse M,10008207,,,,,,0,32.99,0
Adonna Slip Dress Black Size M,10003406,,Adonna,,,,1,0,0
Adonna Slip Dress Black Size S,10003474,,Adonna,,,,0,16.99,0
Adora Tie Top Black/Size M,10009798,,Adora,,,,0,19.99,0
Adriana P Black SL Top / Size L,10005655,,Adrianna Papell,,,,1,0,0
Adrianna Papell Brown Blazer 6,10008229,,,,,,1,0,8.75
Adrianna Papell Burgundy Dress 6,10008226,,,,,,1,0,15
Adrianna Papell Gold Heels/Size 7.5,10007071,,,,,,0,22.99,0
Adrianna Papell Yellow Crochet Dress 8,10008277,,,,,,1,0,8
Adrianna Papell/ Blouse/ Pink/ Size M,10005046,,Adrianna Papell,,,,0,27.99,0
Adrianna PapellDress_Az,10003042,,Adrianna Papell,,,,1,0,0
