id,handle,sku,composite_name,composite_sku,composite_quantity,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,active_online,weight,weight_unit,length,width,height,dimensions_unit,supply_price,retail_price,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Knoxville_Location,inventory_Knoxville_Location,reorder_point_Knoxville_Location,restock_level_Knoxville_Location
2c5bf40d-56c6-4f7d-a162-998e1e4e3d69,merciblousebrgndym,10004872,,,,&merci/blouse/brgndy/M,,,,,,,,,,0,0,LB,0,0,0,IN,0,28.99,,,&merci,,,1,1,Default Tax,0,,
541decde-e1c3-426b-b6e7-6f47c9146de0,1-state-pink-floral-blouse-m,10009270,,,,1 State Pink Floral Blouse M,,,,,,,,,,0,0,LB,0,0,0,IN,4.35,17.99,,,,,,1,1,Default Tax,1,,
01c1c2b5-a0ef-4fcf-9cb0-bdf803b2beaa,1-state-pink-ls-sheer-pattern--size-m,10004993,,,,1 State Pink LS Sheer Pattern / Size M,,,,,,,,,,0,0,LB,0,0,0,IN,0,27.99,,,1. State,,,1,1,Default Tax,1,,
c9ba4414-3b7a-4470-ba4e-ebb391de8707,1-state-red-tank--shorts-set--size-m,10009001,,,,1 State Red Tank & Shorts Set / Size M,,,,,,,,,,0,0,LB,0,0,0,IN,7.6,29.99,,,1. State,,,1,1,Default Tax,1,,
d760385c-b330-4b89-91ca-199a82e9ca9b,1-state-leopard-print-dress,10007204,,,,1. State Leopard Print Dress,,,,,,,,,,0,0,LB,0,0,0,IN,0,21.99,,,,,,1,1,Default Tax,0,,
9caeac46-e2ef-4ba6-ace7-ccd2a6d5f870,100005553,10006616,,,,100005553,,,,,,,,,,0,,,,,,,0,34.99,,,,,,1,1,Default Tax,-1,,
c76b4265-9028-41d1-b536-186cc4abd927,10002312,10008085,,,,10002312,,,,,,,,,,0,,,,,,,0,18.99,,,,,,1,1,Default Tax,-1,,
64991fa4-e575-4923-9399-1bb9ce2c3b62,10003259,10005795,,,,10003259,,,,,,,,,,0,,,,,,,0,12.99,,,,,,1,1,Default Tax,0,,
772655b8-1165-412f-b167-3b4f23305349,10003277,10005798,,,,10003277,,,,,,,,,,0,,LB,,,,IN,0,24.99,,,,,,1,1,Default Tax,0,,
5e5b57d5-3775-4ebe-b4f8-70f67ef707c0,10003884,10005996,,,,10003884,,,,,,,,,,0,,,,,,,0,24.99,,,,,,1,1,Default Tax,-1,,
9a7eef53-ff07-411a-8d68-379fc25be256,10003992,10005796,,,,10003992,,,,,,,,,,0,,,,,,,0,12.99,,,,,,1,1,Default Tax,-1,,
8454feff-3c3e-455f-940b-90ce4888528d,10005204,10005900,,,,10005204,,,,,,,,,,0,,,,,,,0,13.99,,,,,,1,1,Default Tax,-1,,
b8d7ff5a-e082-4616-aa14-b2fc3b7e71ba,10007212,10007213,,,,10007212,,,,,,,,,,0,,,,,,,0,22.99,,,,,,1,1,Default Tax,-1,,
3e0baa24-dee7-4396-93ac-e8c6fd180a91,10009363,10009364,,,,10009363,,,,,,,,,,0,,,,,,,0,200.00,,,,,,1,1,Default Tax,-1,,
eba1d8e3-044c-4684-b058-ab99520b1d07,12th-tribe-white-sequin-jacket--size-m,10003950,,,,12th Tribe White Sequin Jacket / Size M,,,,,,,,,,1,0,,0,0,0,,0,69.99,,,12th Tribe,,,1,1,Default Tax,0,,
6f0223c1-62d5-42ba-8cee-933066ad12c7,1822-denim-blk-jeansize-10,10003830,,,,1822 Denim Blk Jean/Size 10,,,,,,,,,,1,0,,0,0,0,,0,23.99,,,1822 Denim,,,1,1,Default Tax,1,,
24d53887-1a8d-4c0a-893b-c3e9f045deb6,1883-teal-and-brown-cowgirl-boots--size-75,10003761,,,,1883 Teal and Brown Cowgirl Boots / Size 7.5,,,,,,,,,,1,0,,0,0,0,,0,224.99,,,1883 by Luccheen,,,1,1,Default Tax,0,,
08b3ca02-7768-4337-b779-90e18e961325,1950scaroaurorabractearrset,10007377,,,,1950sCaroAuroraBrac&earrSET,,,,,,,,,,0,0,LB,0,0,0,IN,0,55.99,,,unknown,,,1,1,Default Tax,1,,
cb8de80f-7fb1-4ff3-9da4-5f5226d6d731,2000s-abstract-print-top-s,10009260,,,,2000's Abstract Print Top S,,,,,,,,,,0,0,LB,0,0,0,IN,6.55,29.99,,,,,,1,1,Default Tax,1,,
bafa6f68-85c0-4ea5-9439-f9d0cf986dfd,2000s-abstract-satin-slip-dress-m,10009497,,,,2000's Abstract Satin Slip Dress M,,,,,,,,,,0,0,LB,0,0,0,IN,5,29.99,,,,,,1,1,Default Tax,1,,
9c25968c-3266-4d71-b198-45b36dc862fb,21-saints-black-bodysuit-s,10008930,,,,21 Saints Black Bodysuit S,,,,,,,,,,0,0,LB,0,0,0,IN,6.75,23.99,,,,,,1,1,Default Tax,1,,
d0ed4d15-2a98-42b4-a9cb-22ff7209742a,21saints-ruche-blouse-blk-size-m,10005144,,,,21Saints/ Ruche Blouse/ Blk/ Size M,,,,,,,,,,0,0,LB,0,0,0,IN,0,21.99,,,21 Saints,,,1,1,Default Tax,1,,
b78d4ff4-8f16-42cd-bb13-640a9e517261,2pc-sophia-pajama-set-l,10008678,,,,2pc Sophia Pajama Set L,,,,,,,,,,0,0,LB,0,0,0,IN,7,20.99,,,,,,1,1,Default Tax,1,,
eada7b8f-8a7d-468a-9e5c-8ccecf5952be,2to-ky-squarepattern-top-prplbl-size-l,10005181,,,,2to-Ky/ SquarePattern Top/ Prpl&Bl/ Size L,,,,,,,,,,0,0,LB,0,0,0,IN,0,24.99,,,2to-Ky,,,1,1,Default Tax,1,,
d96e264b-a48e-44ab-8291-2fbb4dcf5bd4,3-suiesses-red-spaghetti-strap-dress--size-l,10004617,,,,3 Suiesses Red Spaghetti Strap Dress / Size L,,,,,,,,,,0,0,LB,0,0,0,IN,0,35.99,,,3 Suiesses Collection,,,1,1,Default Tax,0,,
5235042c-5acb-4575-a25c-eebb357c64d0,32-d-purple-puffer-jacket--size-m,10003876,,,,32 D Purple Puffer Jacket / Size M,,,,,,,,,,1,0,,0,0,0,,0,34.99,,,32 Degreees,,,1,1,Default Tax,1,,
9aa62569-d90b-4b5c-92a7-d18aadbdc568,41-hawthorm-purple-polka-dot-sl--size-s,10004213,,,,41 Hawthorm Purple Polka Dot SL / Size S,,,,,,,,,,1,0,,0,0,0,,0,21.99,,,41 Hawthorn,,,1,1,Default Tax,1,,
960be6e4-c6f5-44ed-8d8c-8c8f776c6a8e,514-slim-straight-dark-jean,10006423,,,,514 slim straight dark jean,,,,,,,,,,0,0,LB,0,0,0,IN,0,21.99,,,Levi Strauss X Co,,,1,1,Default Tax,1,,
27d77449-a7d3-4445-b15b-358d2f4fcb59,5a7jnsdnm2,10004883,,,,5a7/jns/dnm/2,,,,,,,,,,0,0,LB,0,0,0,IN,0,45.99,,,5a7,,,1,1,Default Tax,0,,
83a04b58-3b96-4b98-8835-cb2cecf8dc91,7-fam-black-jeans--size-28,10004336,,,,7 FAM Black Jeans / Size 28,,,,,,,,,,1,0,,0,0,0,,0,19.99,,,7 For All Mankind,,,1,1,Default Tax,1,,
d4dcb2a2-f680-42ab-a394-6f7d4c5afe54,7-famk-skinny-jeans--size-27,10003794,,,,7 FAMK Skinny Jeans / Size 27,,,,,,,,,,1,0,,0,0,0,,0,36.99,,,7 For All Mankind,,,1,1,Default Tax,0,,
b712bf3a-b10c-4b56-aceb-f4f7498f1f97,7-for-all-mankind-black-skirt--size-32,10005698,,,,7 For all Mankind Black Skirt / Size 32,,,,,,,,,,0,0,LB,0,0,0,IN,0,28.99,,,7 For All Mankind,,,1,1,Default Tax,1,,
4fd50ec8-33ce-4936-b68c-2e87b7445818,7-for-all-mankind-blue-ombre-sl-top--size-m,10006987,,,,7 For all Mankind Blue Ombre SL Top / Size M,,,,,,,,,,0,0,LB,0,0,0,IN,0,17.99,,,7 for all mandkind,,,1,1,Default Tax,1,,
174c1563-249a-4f70-b746-7f95874b7922,7-for-all-mankind-jacket-pink-size-xs,10003524,,,,7 for All Mankind Jacket Pink Size XS,,,,,,,,,,1,0,,0,0,0,,0,31.99,,,7 For All Mankind,,,1,1,Default Tax,1,,
df16cf11-fc79-4ca8-8d55-ce864e36c6b7,7-for-mankind-brown-leather-jacket-s,10007510,,,,7 for Mankind Brown Leather Jacket S,,,,,,,,,,0,0,LB,0,0,0,IN,24.99,54.99,,,,,,1,1,Default Tax,1,,
39be3866-b6dc-4877-881f-511ca59056b2,7th-avenue-b--w-checkered-skirt--size-12,10005712,,,,7th Avenue B & W Checkered Skirt / Size 12,,,,,,,,,,0,0,LB,0,0,0,IN,0,21.99,,,7th Avenue Design,,,1,1,Default Tax,1,,
