sku,closing_inventory,revenue,inventory_cost,size,product_name,brand_name,product_category
10007001,1,0.0,0.0,4,Ann Taylor Black Skirt,Ann Taylor,Skirt
10004649,1,0.0,0.0,M,Ann Taylor Black Sleeveless Shirt,Ann Taylor,Top
10003396,1,0.0,0.0,8,Ann Taylor Blazer Black,Ann Taylor,Jacket/Coat
10005583,1,0.0,0.0,XS,Ann Taylor Blue SS Top,Ann Taylor,Top
10008401,1,0.0,5.0,,Ann Taylor Blue Striped Top 10,,Top
10006614,1,0.0,0.0,M,Ann Taylor Blush Pink Cardigan,Ann Taylor,Sweater/Cardigan
10005929,0,22.99,0.0,2,Ann Taylor Brown SS Cover Up,Ann Taylor,Top
10007323,1,0.0,0.0,L,Ann Taylor Cami Top,Ann Taylor,Top
10007580,1,0.0,0.0,12,Ann Taylor Dark Blue Shorts,Ann Taylor,Shorts
10003774,1,0.0,0.0,M,Ann Taylor Long Sleeve Burgundy,Ann Taylor,Other
10000324,1,0.0,0.0,,Ann Taylor NWTBlazer_Ca,Ann Taylor NWT,Jacket/Coat
10008517,1,0.0,10.95,,Ann Taylor Nude Camisole M,,Top
10005501,1,0.0,0.0,S,Ann Taylor Orange & Pink SL Top,Ann Taylor,Top
10004100,1,0.0,0.0,,Ann Taylor Pants Herringbone,Ann Taylor,Jeans/Pants
10003770,1,0.0,0.0,S,Ann Taylor Purple Ombre Cardigan,Ann Taylor LOFT,Sweater/Cardigan
10005610,1,0.0,0.0,L,Ann Taylor Purple Ruffle Tank,Ann Taylor LOFT,Top
10006534,1,0.0,0.0,XL,Ann Taylor Purple SS Top,Ann Taylor,Top
10008652,1,0.0,4.5,,Ann Taylor Purple Top XL,,Top
10007453,0,19.99,0.0,,Ann Taylor Red Purse,Ann Taylor,Accessories
10003501,1,0.0,12.0,6,Ann Taylor Skirt Black & White,Ann Taylor,Skirt
10008519,1,0.0,10.95,,Ann Taylor Sleeveless Top XS,,Top
10006972,0,17.99,0.0,S,Ann Taylor White LS,Ann Taylor,Top
10007114,0,25.99,0.0,6,Ann Taylor White SL Long Dress,Ann Taylor,Dress
10008032,1,0.0,7.25,,Ann Taylor Yellow Sleeveless M,,Top
10008470,0,24.99,0.0,,Ann Taylor Yellow White Top S,,Top
10002784,0,39.99,0.0,,Ann TaylorJacket_La,Ann Taylor,Jacket/Coat
10000402,1,0.0,0.0,,Ann TaylorLS Top_Al,Ann Taylor,Top
10004019,1,0.0,0.0,,Ann TaylorPants_Ay,Ann Taylor,Jeans/Pants
10002723,1,0.0,0.0,,Ann TaylorSS Top_Ja,Ann Taylor,Top
10001483,0,0.0,0.0,,Ann TaylorSkirt_Ex,Ann Taylor,Skirt
10000098,1,0.0,0.0,,Ann TaylorSweater_Am,Ann Taylor,Sweater/Cardigan
10004368,1,0.0,0.0,S,AnnT BlkAnimalBlouse,Ann Taylor,Top
10003591,0,28.99,0.0,4,AnnT BlkGreyPant,Ann Taylor,Jeans/Pants
10004367,1,0.0,0.0,XS,AnnTLoft GreyTop,Ann Taylor LOFT,Other
10005418,0,18.99,0.0,M,AnnTLoft Yellow&GrnTop,Ann Taylor LOFT,Other
10004354,1,0.0,0.0,2,AnnTaylor Black Animal Print Skirt,Ann Taylor,Skirt
10005071,0,17.99,0.0,M,AnnTaylor LeafPrint Top Grn,Ann Taylor,Top
10005055,1,0.0,0.0,M,AnnTaylor Slvless Top Pink,Ann Taylor,Top
10006133,0,24.33395,0.0,8,AnnTaylor BlkBttnDwnDress,Ann Taylor,Dress
10008358,1,0.0,0.0,14,AnnTaylor BrwnFloralTop,Ann Taylor,Other
10004935,0,21.99,0.0,10,AnnTaylor Pink&WhiLaceTop,Ann Taylor,Other
10005302,1,0.0,0.0,S,AnnTaylor PinkSleevlessTop,Ann Taylor,Top
10006122,1,0.0,0.0,8,AnnTaylor PnkPurpSkirt,Ann Taylor,Skirt
10004870,0,24.99,0.0,4,AnnTaylor Red&WhiFloralSkirt,Ann Taylor,Skirt
10006107,1,0.0,0.0,M,AnnTaylor RedTop,Ann Taylor,Other
10007754,1,0.0,0.0,8,AnnTaylorP BlkDottedSkirt,Ann Taylor Petites,Skirt
10008013,1,0.0,8.25,8,Anna Sui Black Detail Skirt,Anna Sui,Skirt
10003968,1,0.0,0.0,XL,Anna-Kaci Blk Sequin Top,Anna-Kaci,Top
10004618,1,0.0,0.0,12,Anne Klein Black Sleeveless Dress,Anne Klein,Dress
10005257,1,0.0,0.0,6,Anne Klein Fushia Floral Sheer Cardigan,Anne Klein,Sweater/Cardigan
10007591,1,0.0,0.0,,Anne Klein multi-color blazer 6,,Jacket/Coat
10006849,1,0.0,0.0,L,Anne Klein white dress shirt,Anne Klein,Dress
10001187,0,0.0,0.0,,Anne KleinCardigan_Ga,Anne Klein,Sweater/Cardigan
10004603,1,0.0,0.0,10,AnneKlein BlkSparkleDress,Anne Klein,Dress
10007415,1,0.0,0.0,4,AnneKlein MulticolDress,Anne Klein,Dress
10007399,1,0.0,0.0,14,AnneKlein WhiruffleSlvlssShirt,Anne Klein,Top
10005701,0,45.99,0.0,S,Another Label Orange & Black Jacket,Another Label,Jacket/Coat
10007708,1,0.0,0.0,10,Anthro Off White Crochet Skirt,Anthropologie,Skirt
10005591,1,0.0,0.0,S,Anthro White SS Top w Yellow Ruffle,Anthropologie,Top
10006267,0,24.99,0.0,M,Anthropologie Black Balloon Pants,Anthropologie,Jeans/Pants
10005105,1,0.0,0.0,M,Anthropologie Black Textured Tank,Anthropologie,Top
